node	pci_path	device
e24-h01-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h03-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h05-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h06-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h07-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h09-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h10-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
e24-h11-000-r640	pci-0000:d8:00.0-nvme-1	nvme0n1
f04-h12-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f04-h12-000-r640	pci-0000:89:00.0-nvme-1-part1	nvme0n1p1
f04-h12-000-r640	pci-0000:89:00.0-nvme-1-part2	nvme0n1p2
f04-h32-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f04-h32-000-r640	pci-0000:89:00.0-nvme-1-part1	nvme0n1p1
f04-h32-000-r640	pci-0000:89:00.0-nvme-1-part2	nvme0n1p2
f04-h33-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f04-h33-000-r640	pci-0000:89:00.0-nvme-1-part1	nvme0n1p1
f04-h33-000-r640	pci-0000:89:00.0-nvme-1-part2	nvme0n1p2
f19-h09-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h10-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h11-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h14-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h15-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h23-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f19-h25-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h05-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h06-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h07-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h11-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h14-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h15-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h17-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h19-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h21-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h25-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h26-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f20-h27-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h01-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h03-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h05-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h06-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h10-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h14-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h17-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h18-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f21-h19-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f30-h19-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f30-h21-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
f31-h17-000-r640	pci-0000:89:00.0-nvme-1	nvme0n1
